/* Unit: gC/m2/yr */
Continents/regions,year,modis_land1,modis_land2,modis_land3,modis_land4,modis_land5,modis_land6,modis_land7,modis_land8,modis_land9,modis_land10,modis_land11,modis_land12,modis_land13,modis_land14,modis_land15,modis_land16,modis_land17,,,
Europe,2015,649.76,1221.29,346.35,814.31,715.17,482.64,247.17,608.28,609.89,423.60,179.85,579.07,37.77,775.08,0.49,8.75,0.77,,,
Africa,2015,1169.68,1275.66,394.85,847.14,885.11,356.25,160.99,1049.55,750.41,309.53,103.14,367.32,99.03,596.49,13.48,0.72,0.31,,,
Australia,2015,1881.21,2041.06,1493.28,1239.27,1318.31,278.59,124.26,1062.49,824.33,406.39,257.58,595.09,89.98,1509.79,1.23,10.01,0.63,,,
E Asia,2015,934.87,1477.11,580.00,790.32,900.88,584.29,63.83,924.19,785.22,268.20,239.74,509.93,150.46,753.69,1.05,5.55,2.90,,,
N Asia,2015,600.75,0.00,515.44,663.21,647.61,319.22,220.22,500.12,350.01,199.14,58.03,467.99,28.70,556.83,2.25,13.37,21.92,,,
S Asia,2015,804.16,1278.23,536.93,626.03,658.33,451.99,37.89,953.62,591.40,236.59,68.41,296.79,33.18,590.08,1.58,10.47,1.52,,,
SE Asia,2015,826.69,1519.90,331.37,967.60,1123.53,987.50,417.52,1119.01,904.03,809.16,247.84,599.14,125.96,911.00,21.70,79.93,7.27,,,
SW Asia,2015,973.80,1174.23,469.01,949.43,896.21,720.86,91.62,951.08,787.27,327.66,396.16,455.82,25.60,977.14,8.26,2.80,1.33,,,
Central Asia,2015,556.47,1.36,558.06,659.01,691.70,601.63,63.32,624.24,534.84,194.04,80.44,332.20,13.16,548.59,3.40,11.72,0.18,,,
Central America,2015,544.63,1563.05,121.38,1166.69,1659.01,1005.82,812.63,1314.98,962.85,1003.70,255.39,843.51,160.52,952.61,0.00,80.39,0.08,,,
South America,2015,929.57,1380.52,560.84,581.81,857.40,559.71,253.43,935.06,766.26,595.11,154.26,734.92,16.28,989.57,2.20,35.13,1.70,,,
North America,2014,664.00,1468.71,568.67,955.63,756.25,460.15,227.88,612.70,425.28,216.37,97.53,570.63,65.96,801.69,1.07,13.25,12.06,,,
Europe,2014,685.50,1288.65,332.27,946.19,742.09,556.43,256.09,666.54,662.10,460.08,189.74,626.65,39.09,830.37,0.50,9.84,0.97,,,
Africa,2014,1201.45,1303.71,319.66,922.58,957.31,530.57,214.71,1125.88,825.61,371.67,102.57,392.71,105.23,613.89,14.77,0.70,0.34,,,
Australia,2014,1828.18,2026.60,1642.45,1239.30,1370.65,298.40,140.39,1057.80,838.62,453.83,263.33,626.75,88.81,1533.74,0.00,10.42,0.85,,,
E Asia,2014,912.59,1408.80,712.25,819.56,906.44,500.62,69.41,908.98,782.80,268.72,223.88,521.02,142.00,726.80,1.02,5.45,2.67,,,
N Asia,2014,561.62,0.00,527.55,678.95,620.95,375.86,211.53,505.35,342.24,204.21,55.36,420.42,26.87,514.91,2.08,13.24,24.89,,,
