/* Unit: gC/m2/yr */
Continents/regions,year,modis_land1,modis_land2,modis_land3,modis_land4,modis_land5,modis_land6,modis_land7,modis_land8,modis_land9,modis_land10,modis_land11,modis_land12,modis_land13,modis_land14,modis_land15,modis_land16,modis_land17,,,
N Asia,2005,590.05,0.00,520.02,654.59,631.84,276.52,211.53,518.40,356.54,191.18,62.14,435.32,24.62,538.70,2.56,14.53,24.06,,,
S Asia,2005,784.36,1290.72,697.57,657.06,685.01,410.49,48.01,910.36,595.93,251.08,58.17,350.13,28.86,606.83,2.01,11.60,1.12,,,
SE Asia,2005,779.69,1252.33,43.35,893.25,1111.92,639.45,405.50,948.65,815.43,644.05,185.62,556.45,88.02,796.35,28.86,45.77,0.24,,,
SW Asia,2005,951.53,1176.61,655.43,1070.90,978.56,687.05,102.76,996.27,768.79,311.23,363.90,429.00,20.85,981.47,9.50,3.31,0.78,,,
Central Asia,2005,629.43,1.21,623.05,731.52,720.22,610.84,64.82,650.81,576.14,206.75,83.16,358.12,10.99,604.88,1.76,11.72,0.13,,,
Central America,2005,454.34,1400.96,0.00,1179.90,1477.75,619.18,515.92,1201.09,887.04,869.30,208.51,867.35,122.17,925.30,0.00,72.80,0.08,,,
South America,2005,918.22,1406.72,261.52,511.76,805.71,834.48,239.86,923.48,829.50,619.19,123.87,720.31,13.04,937.58,1.40,35.20,1.26,,,
North America,2004,662.18,1530.77,532.04,1009.26,760.23,536.89,220.60,609.91,410.75,218.64,81.13,605.31,59.88,852.04,1.18,13.79,12.43,,,
Europe,2004,618.68,1262.81,352.52,951.86,672.58,635.96,264.74,603.16,620.32,465.26,167.47,634.36,31.57,764.96,0.30,10.33,0.88,,,
Africa,2004,1221.46,1245.09,474.78,960.78,1005.15,665.52,211.55,1142.39,870.02,394.86,94.88,399.84,81.08,628.43,1.65,0.75,0.15,,,
Australia,2004,1838.40,2055.44,0.00,1236.52,1429.20,401.97,169.11,1139.44,881.50,497.38,258.97,614.56,74.35,1491.08,0.07,15.43,0.60,,,
E Asia,2004,884.24,1354.54,627.05,817.90,899.89,602.40,87.79,878.48,785.95,252.02,199.68,534.32,131.01,709.02,1.22,5.63,0.28,,,
N Asia,2004,549.77,0.00,464.16,678.84,615.54,272.47,186.14,466.00,315.48,177.50,53.32,436.70,22.97,538.36,2.34,13.55,19.33,,,
S Asia,2004,738.96,1328.19,667.09,777.64,728.51,395.83,26.71,958.70,637.07,249.90,61.96,349.61,27.10,650.76,2.04,9.52,1.33,,,
SE Asia,2004,753.24,1359.49,63.11,1020.64,1160.97,778.10,423.98,1040.45,909.04,721.56,200.08,629.73,91.35,852.39,23.65,44.90,0.24,,,
SW Asia,2004,957.01,1210.45,977.64,1136.61,1032.05,754.77,98.86,1043.23,787.02,320.49,372.59,438.56,20.87,983.80,8.18,3.13,0.72,,,
Central Asia,2004,538.94,0.94,588.84,702.16,693.71,589.31,78.88,609.45,529.34,202.36,97.71,304.64,10.88,523.33,1.81,13.85,0.16,,,
Central America,2004,496.05,1583.14,0.00,1337.55,1659.79,757.44,539.65,1361.11,1013.69,1007.98,237.52,956.76,133.68,1032.85,371.15,71.70,0.09,,,
South America,2004,913.53,1438.23,199.49,443.60,838.05,902.92,243.70,912.27,840.58,643.84,125.94,726.69,12.84,937.39,0.56,35.56,1.28,,,
North America,2003,665.02,1439.73,578.98,966.49,763.53,538.06,215.05,630.19,426.94,201.82,92.16,532.81,54.74,794.37,1.22,13.26,10.84,,,
Europe,2003,616.24,1151.93,328.42,848.65,662.66,590.35,245.41,592.47,599.49,438.65,157.66,582.69,29.95,731.22,0.31,10.58,0.74,,,
Africa,2003,1121.52,1271.52,205.86,933.69,1004.44,556.64,173.75,1114.87,850.68,371.35,89.44,408.46,77.28,641.49,1.48,0.75,0.12,,,
Australia,2003,1695.64,2009.70,0.00,1214.48,1385.62,349.75,143.71,1095.41,812.43,457.70,242.05,672.75,71.31,1520.53,0.00,18.52,0.33,,,
E Asia,2003,874.49,1342.15,544.55,793.04,887.57,501.51,83.40,863.69,792.91,255.36,195.69,511.56,117.18,691.72,1.44,5.83,0.19,,,
N Asia,2003,588.49,0.00,454.42,651.65,620.01,335.81,209.42,464.27,332.81,183.33,61.34,449.48,23.98,550.04,2.97,15.97,21.15,,,
S Asia,2003,745.12,1315.64,563.35,647.79,713.81,398.55,64.26,945.98,589.13,246.27,62.88,350.72,27.79,625.31,2.01,12.45,1.27,,,
SE Asia,2003,820.97,1347.72,229.27,1119.03,1292.48,766.98,392.78,1082.69,940.25,755.55,199.83,677.61,86.94,836.64,23.31,45.01,0.22,,,
SW Asia,2003,906.19,1133.83,1058.43,1088.29,1006.80,752.90,99.57,993.88,759.82,306.48,362.47,415.67,19.73,934.20,11.15,3.31,0.73,,,
Central Asia,2003,536.30,0.94,573.35,702.31,698.59,610.71,74.52,614.10,545.21,211.66,92.23,349.30,11.10,520.69,1.96,13.47,0.14,,,
Central America,2003,443.78,1430.99,0.00,1185.61,1492.52,681.34,328.70,1232.61,906.96,899.54,208.82,887.31,119.52,934.48,0.00,65.53,0.07,,,
South America,2003,761.18,1402.11,167.86,511.79,691.16,702.52,229.25,889.16,808.51,605.27,118.89,708.31,11.94,946.69,0.33,35.04,1.14,,,
North America,2002,619.11,1483.37,507.31,817.30,718.86,484.94,198.98,560.81,390.72,180.90,81.38,484.46,52.28,747.15,1.40,12.46,11.07,,,
Europe,2002,633.63,1237.72,213.18,905.96,697.10,580.96,226.40,628.47,624.00,443.72,157.05,595.37,30.57,761.74,0.35,9.22,0.54,,,
Africa,2002,1171.61,1276.63,223.21,948.17,995.37,483.19,178.73,1114.87,840.77,339.17,81.79,371.03,77.62,645.82,6.12,0.85,0.12,,,
Australia,2002,1872.88,2019.18,0.00,1236.88,1395.36,328.41,112.10,1093.28,796.56,372.07,247.65,577.46,69.82,1511.68,0.00,13.61,-0.01,,,
E Asia,2002,930.09,1349.99,571.23,812.78,896.25,473.98,83.17,849.85,757.34,254.55,211.43,498.64,118.15,695.41,2.26,6.01,0.16,,,
N Asia,2002,553.40,0.00,499.83,637.22,606.26,313.47,213.25,485.79,343.90,187.74,56.95,438.85,22.29,531.06,2.94,15.43,23.60,,,
S Asia,2002,808.80,1367.50,649.55,722.33,717.35,370.11,16.89,953.39,603.19,237.79,66.77,323.11,25.10,652.98,1.89,9.42,1.08,,,
SE Asia,2002,888.97,1367.40,364.30,980.29,1174.23,782.63,354.61,1035.71,875.49,696.74,218.26,595.56,83.92,827.80,22.67,45.60,0.22,,,
SW Asia,2002,989.37,1145.09,905.83,1041.76,958.67,692.49,96.88,1000.47,811.12,314.20,378.13,435.25,20.67,966.24,13.76,3.11,0.47,,,
Central Asia,2002,610.85,1.28,568.18,651.28,623.13,550.77,55.17,585.39,540.97,222.60,82.76,360.11,11.10,565.38,2.32,13.20,0.08,,,
Central America,2002,462.81,1543.19,0.00,1248.02,1569.72,772.52,264.15,1337.77,972.29,983.30,231.05,918.96,124.87,970.34,0.00,67.19,0.06,,,
South America,2002,730.98,1347.58,204.55,349.36,700.83,747.21,239.76,821.95,725.64,568.96,125.07,699.52,12.01,812.42,0.59,34.40,1.19,,,
North America,2001,582.53,1478.85,485.32,876.06,743.95,506.29,177.58,573.92,384.81,184.41,81.07,489.99,52.65,759.93,1.79,12.42,7.60,,,
Europe,2001,574.73,1237.16,254.76,880.13,657.53,532.83,211.24,548.39,572.16,405.17,150.65,562.57,28.46,700.67,0.57,7.77,0.25,,,
Africa,2001,1096.29,1225.56,286.84,898.92,944.78,590.79,212.66,1074.95,819.52,390.85,77.56,388.09,75.65,626.61,0.00,0.89,0.12,,,
Australia,2001,1814.32,1986.21,0.00,1231.00,1368.56,403.22,190.46,1181.47,861.45,500.83,244.52,642.04,72.86,1519.70,0.00,21.71,0.90,,,
E Asia,2001,861.68,1199.51,541.50,749.16,835.37,378.78,77.41,794.73,718.31,214.76,185.64,460.38,110.29,639.30,3.07,5.54,0.06,,,
N Asia,2001,521.55,375.70,437.67,604.96,580.40,256.22,194.59,440.23,309.10,168.22,56.62,407.28,21.09,515.96,2.29,13.22,19.46,,,
S Asia,2001,796.46,1268.15,486.59,615.36,667.77,344.81,34.77,887.97,542.29,222.91,60.26,295.83,23.50,571.47,2.17,10.05,0.43,,,
SE Asia,2001,812.28,1200.69,252.69,956.67,1079.45,658.40,330.39,935.50,836.72,656.51,186.14,592.80,76.70,768.93,21.32,42.32,0.06,,,
SW Asia,2001,879.01,1126.26,860.82,1025.89,947.41,661.01,93.65,957.44,727.80,286.65,345.91,403.51,18.99,923.34,14.48,3.15,0.23,,,
Central Asia,2001,559.28,0.53,505.60,645.99,625.17,551.43,37.07,576.09,516.53,179.34,79.76,294.19,9.16,536.15,2.55,10.81,0.06,,,
Central America,2001,425.96,1501.73,0.00,1240.42,1490.47,729.63,169.20,1300.38,948.93,952.00,232.27,900.02,120.81,956.31,0.00,64.92,0.03,,,
South America,2001,754.11,1299.45,159.01,351.64,779.92,681.75,241.84,773.71,682.06,526.16,123.90,635.98,11.27,799.63,0.69,34.17,0.72,,,
