/* Unit: gC */
Continents/regions,year,modis_land1,modis_land2,modis_land3,modis_land4,modis_land5,modis_land6,modis_land7,modis_land8,modis_land9,modis_land10,modis_land11,modis_land12,modis_land13,modis_land14,modis_land15,modis_land16,modis_land17
Central America,2017,48457076203,2.77048E+13,239128626.3,1.02411E+12,4.87491E+11,91560211994,2172782156,7.55328E+13,5.2959E+13,1.12416E+13,5.14612E+12,3.95612E+12,4.03751E+11,3.14289E+12,0,16661089664,1665940466
South America,2017,7.93762E+12,6.81139E+14,2430862974,5.32555E+13,1.00773E+13,9.06772E+12,7.27838E+13,2.57371E+14,7.49223E+14,8.39447E+14,9.57665E+13,1.85602E+14,1.59538E+12,4.3031E+13,1.1625E+12,2.61901E+13,1.47965E+12
North America,2016,1.02746E+14,5.59725E+13,3.71367E+11,1.53876E+14,9.0201E+13,6.30404E+12,1.4243E+14,5.52515E+14,4.17621E+14,6.4348E+14,1.0683E+14,3.18013E+14,7.69369E+12,2.5494E+13,1.88116E+12,3.22909E+13,4.11398E+12
Europe,2016,4.48369E+13,3.07977E+12,44862551572,3.85569E+13,7.15858E+13,3.2195E+11,2.09366E+13,1.47307E+14,1.85478E+14,2.25328E+14,3.50173E+13,3.43666E+14,3.92606E+12,2.2511E+13,4.00613E+11,8.0771E+12,2.50697E+11
Africa,2016,8.22919E+11,2.81196E+14,3316524747,3.90223E+13,3.25272E+13,1.63181E+13,9.39701E+13,2.57956E+14,7.41599E+14,1.08879E+15,5.41402E+13,1.57909E+14,6.08515E+12,6.64818E+13,1413437299,1.52106E+13,2.94259E+11
Australia,2016,8.33237E+12,3.90902E+13,245208166.3,1.04251E+12,5.30491E+12,2.25798E+13,1.8527E+14,5.07234E+13,1.40363E+14,2.70701E+14,1.06837E+13,5.36376E+13,1.08827E+12,8.51672E+11,10604717631,3.38823E+12,33961731291
E Asia,2016,1.39736E+13,4.33927E+14,8.52869E+11,7.92506E+13,7.7056E+13,8.59818E+11,6.93321E+11,5.16273E+14,3.37244E+14,3.4017E+14,7.37057E+13,2.694E+14,3.01771E+13,1.08262E+14,2.97232E+11,3.34636E+13,1.16756E+12
N Asia,2016,2.16439E+13,0,2.18497E+13,2.44491E+13,6.32691E+13,3.51272E+12,1.27372E+14,1.79363E+14,3.18984E+14,2.57956E+14,1.17918E+14,2.95623E+13,3.4768E+11,2.12907E+12,3.70467E+11,2.41273E+13,3.85176E+12
S Asia,2016,1.23057E+13,3.36341E+13,1722522925,1.23415E+13,3.5751E+13,55588297832,2.53288E+13,5.7069E+13,5.48873E+13,9.99366E+13,9.79102E+12,2.41876E+14,1.57302E+12,2.26089E+13,2.21578E+11,2.11966E+13,5.05014E+11
SE Asia,2016,4.49345E+12,3.82751E+14,9554960250,2.2305E+13,2.69765E+13,5.02544E+11,77141475079,3.84709E+14,1.56223E+14,9.26143E+13,6.55004E+13,1.27896E+14,4.54374E+12,6.65519E+13,3017511299,5.08231E+11,7.33203E+11
SW Asia,2016,2.07654E+12,43473881792,298265357.3,7.35483E+12,3.56263E+12,86753265697,3.25769E+13,1.20274E+13,1.79638E+13,1.67448E+14,1.56541E+12,5.33918E+13,1.29318E+12,1.26189E+12,38609063466,1.66225E+13,1.46004E+11
Central Asia,2016,23307338154,170249241.2,4749454305,64821997030,6.939E+11,76171601244,5.14041E+12,9.20781E+11,7.77845E+11,1.74266E+14,1.23516E+12,2.03729E+13,1.96496E+11,15075557687,4.43331E+11,1.86741E+13,1.90732E+11
Central America,2016,63162853187,3.58213E+13,141782460.2,1.15432E+12,6.4016E+11,1.07168E+11,2482649996,9.59846E+13,6.43073E+13,1.42396E+13,5.86198E+12,4.64723E+12,4.88983E+11,3.90103E+12,0,20939997446,1154547886
South America,2016,1.00553E+13,9.43803E+14,3811331364,8.92908E+13,1.28162E+13,1.06415E+13,8.94972E+13,3.35069E+14,9.00501E+14,8.95774E+14,1.05161E+14,1.83122E+14,1.82156E+12,4.90666E+13,1.53461E+12,3.5054E+13,1.23363E+12
North America,2015,8.29569E+13,4.26441E+13,2.66289E+11,1.15696E+14,7.38631E+13,4.43934E+12,1.12151E+14,4.16958E+14,3.28895E+14,4.66845E+14,8.30149E+13,2.14983E+14,5.65045E+12,1.90791E+13,1.33523E+12,2.6022E+13,3.37491E+12
Europe,2015,4.046E+13,3.00262E+12,27796752895,3.30848E+13,6.55232E+13,2.68945E+11,1.74187E+13,1.14726E+14,1.45088E+14,1.90055E+14,2.76253E+13,2.72952E+14,3.24852E+12,1.66266E+13,4.40756E+11,7.06576E+12,2.93253E+11
Africa,2015,7.68284E+11,2.22487E+14,2637673643,3.2341E+13,2.5955E+13,1.3778E+13,8.74297E+13,2.12836E+14,6.12551E+14,8.71866E+14,4.59543E+13,1.32798E+14,5.03268E+12,5.55237E+13,1625964713,1.53681E+13,2.83228E+11
Australia,2015,7.16809E+12,3.24638E+13,156217681.3,8.30141E+11,4.32815E+12,1.79495E+13,1.35191E+14,4.22964E+13,1.18997E+14,2.21453E+14,8.97999E+12,4.06754E+13,8.80394E+11,6.99651E+11,2720777736,2.46651E+12,35828042419
