Continents/regions,year,mod_land1,mod_land2,mod_land3,mod_land4,mod_land5,mod_land6,mod_land7,mod_land8,mod_land9,mod_land10,mod_land12,mod_land14,
N Asia,2005,3.88E+11,0,4.54E+11,2.76E+11,1.36E+12,35052228647,3.20E+12,2.05E+12,2.47E+12,2.72E+12,2.67E+11,31078460701,
S Asia,2005,33050086282,1.55E+11,614459.5313,77151955301,1.06E+11,276848990.1,2.68E+11,1.97E+11,2.20E+11,6.78E+11,2.19E+12,81097932331,
SE Asia,2005,8376925668,2.20E+12,5380677.691,74159320263,97476618297,551739474.1,179846394.5,6.96E+11,3.50E+11,1.84E+11,4.97E+11,1.52E+11,
SW Asia,2005,15037702782,415303571.9,2189865.134,46188242310,15616840381,544357793.4,3.35E+11,56381928822,74605810114,9.63E+11,4.09E+11,4677228035,
Central Asia,2005,1032178070,7961722.03,104880243,1683000536,8391407769,344869348.2,1.00E+11,6904539569,11519142642,2.84E+12,2.21E+11,178171406.4,
Central America,2005,46286683.06,1.79E+11,0,5010999583,1305756956,110617868.2,1475111.844,1.44E+11,1.29E+11,20452660101,10592097325,6119911190,
South America,2005,38322150696,6.36E+12,14118887.64,3.59E+11,72237461131,60062550996,8.47E+11,8.91E+11,3.55E+12,3.67E+12,6.16E+11,1.15E+11,
North America,2004,1.17E+12,2.28E+11,3707856668,9.31E+11,8.78E+11,32234582038,2.25E+12,3.30E+12,2.61E+12,5.36E+12,1.98E+12,1.32E+11,
Europe,2004,6.37E+11,20116132648,269039088.9,3.57E+11,1.38E+12,4025755944,2.33E+11,1.29E+12,1.20E+12,1.39E+12,2.52E+12,2.11E+11,
Africa,2004,3235089184,2.26E+12,658239.8578,3.73E+11,2.13E+11,1.81E+11,1.76E+12,1.19E+12,4.25E+12,7.68E+12,1.30E+12,2.65E+11,
Australia,2004,33133496267,1.91E+11,0,793260737,4895786947,2.91E+11,4.15E+12,1.29E+11,4.92E+11,1.89E+12,2.79E+11,544559617.7,
E Asia,2004,92835383475,2.44E+12,13883941326,5.59E+11,4.89E+11,5271829765,8676928575,1.69E+12,1.10E+12,3.06E+12,1.82E+12,3.69E+11,
N Asia,2004,3.86E+11,0,4.36E+11,2.72E+11,1.37E+12,33788893227,3.21E+12,2.05E+12,2.47E+12,2.71E+12,2.64E+11,30860955078,
S Asia,2004,33306524384,1.56E+11,1036228.449,74822800723,1.04E+11,286191301.8,2.66E+11,1.96E+11,2.24E+11,6.83E+11,2.18E+12,80761909750,
SE Asia,2004,8444420543,2.23E+12,3708320.53,73984843437,97619566059,549193801.1,216929416.1,6.72E+11,3.51E+11,1.85E+11,4.96E+11,1.53E+11,
SW Asia,2004,14318989689,394864719.8,2760144.743,46907238025,15546213604,626236522,3.36E+11,54112155612,75445095299,9.65E+11,4.16E+11,4629055047,
Central Asia,2004,969822489,8154779.451,93939853.63,1846846375,8486952018,422974282.6,97950275704,6376662106,11185061208,2.85E+12,2.21E+11,165789080.6,
Central America,2004,46432900.41,1.83E+11,0,4841898583,1226631879,110868371,491111.2813,1.40E+11,1.30E+11,20434967510,10686995494,6201609161,
South America,2004,38736101106,6.40E+12,17873933.41,3.53E+11,72742865580,59072683623,8.41E+11,8.76E+11,3.55E+12,3.66E+12,6.09E+11,1.15E+11,
North America,2003,1.17E+12,2.32E+11,3499950329,9.27E+11,8.74E+11,30626553628,2.25E+12,3.29E+12,2.61E+12,5.35E+12,1.97E+12,1.29E+11,
Europe,2003,6.35E+11,20107941775,287330206.9,3.54E+11,1.39E+12,4014988474,2.33E+11,1.29E+12,1.19E+12,1.39E+12,2.53E+12,2.05E+11,
Africa,2003,3013341418,2.25E+12,898585.5297,3.64E+11,2.06E+11,1.81E+11,1.75E+12,1.21E+12,4.27E+12,7.64E+12,1.32E+12,2.60E+11,
Australia,2003,32750443074,1.87E+11,0,788862258.9,4852490732,2.92E+11,4.16E+12,1.30E+11,4.98E+11,1.88E+12,2.79E+11,498093124.6,
E Asia,2003,92272198263,2.47E+12,13802350575,5.47E+11,4.89E+11,4973210613,8563600600,1.67E+12,1.11E+12,3.06E+12,1.82E+12,3.64E+11,
N Asia,2003,3.88E+11,0,4.14E+11,2.74E+11,1.37E+12,32139501058,3.22E+12,2.05E+12,2.48E+12,2.70E+12,2.64E+11,30816796344,
S Asia,2003,33401265480,1.56E+11,2516065.699,72073585999,1.01E+11,287840991.1,2.64E+11,1.93E+11,2.28E+11,7.01E+11,2.17E+12,80884089291,
SE Asia,2003,8462374945,2.25E+12,4142490.183,70063440517,97254286762,507207391.3,227383678.4,6.49E+11,3.52E+11,1.84E+11,4.94E+11,1.54E+11,
SW Asia,2003,14104713092,394975764,3133358.625,47657077679,15569396589,670326721.2,3.34E+11,52096707653,75471338602,9.64E+11,4.21E+11,4455461954,
Central Asia,2003,933594908.8,8347861.295,98419818.77,2291962146,8724730538,460748157.6,95447766989,5691942976,11047336073,2.85E+12,2.25E+11,184663509.6,
Central America,2003,45055267.44,1.85E+11,0,4809146626,1228325024,105549559.1,245531.3125,1.38E+11,1.30E+11,20147452112,11026025304,6294269973,
South America,2003,39736082780,6.44E+12,21713127.72,3.34E+11,72320713210,59151219117,8.38E+11,8.66E+11,3.56E+12,3.65E+12,6.00E+11,1.14E+11,
North America,2002,1.19E+12,2.34E+11,3317600339,9.33E+11,8.79E+11,29189127907,2.26E+12,3.28E+12,2.62E+12,5.34E+12,1.95E+12,1.31E+11,
Europe,2002,6.38E+11,20884786148,359699601.8,3.60E+11,1.40E+12,4032159600,2.31E+11,1.28E+12,1.18E+12,1.38E+12,2.53E+12,2.06E+11,
Africa,2002,2757212074,2.26E+12,655876.8735,3.54E+11,1.99E+11,1.79E+11,1.75E+12,1.21E+12,4.29E+12,7.60E+12,1.32E+12,2.59E+11,
Australia,2002,34791352421,1.86E+11,0,723799259.1,4388030314,2.94E+11,4.16E+12,1.29E+11,5.00E+11,1.89E+12,2.63E+11,479503637.3,
E Asia,2002,92666175831,2.50E+12,14666202921,5.43E+11,4.95E+11,4880299651,8496406089,1.63E+12,1.12E+12,3.05E+12,1.81E+12,3.60E+11,
N Asia,2002,3.94E+11,0,4.15E+11,2.90E+11,1.40E+12,28652744647,3.21E+12,2.04E+12,2.49E+12,2.66E+12,2.62E+11,32991417104,
S Asia,2002,33724597940,1.57E+11,2973177.09,67751635707,99295566093,293391807.2,2.63E+11,1.90E+11,2.38E+11,7.15E+11,2.14E+12,82190292052,
SE Asia,2002,8561791833,2.29E+12,3179570.627,68362692889,98915369248,495550102,208249052.1,6.21E+11,3.52E+11,1.82E+11,4.90E+11,1.55E+11,
SW Asia,2002,14280031589,399938773.1,2780957.875,49116438201,15908468326,572970678.1,3.33E+11,50858547883,76448639414,9.62E+11,4.23E+11,4472111649,
Central Asia,2002,924521201.2,8533351.467,104167160,3019937787,9018882326,404953046.2,93955926920,5254486369,11533411676,2.84E+12,2.27E+11,210436324.9,
Central America,2002,43797906.37,1.88E+11,0,4711861564,1245719805,104089313.2,491309.9219,1.36E+11,1.28E+11,20058408625,11476523044,6499677285,
South America,2002,42980654219,6.49E+12,37392059.51,3.16E+11,70569580986,58265443544,8.34E+11,8.57E+11,3.59E+12,3.62E+12,5.91E+11,1.13E+11,
North America,2001,1.21E+12,2.33E+11,3277586245,9.32E+11,8.80E+11,28039445176,2.26E+12,3.28E+12,2.62E+12,5.31E+12,1.92E+12,1.37E+11,
Europe,2001,6.42E+11,21028927920,512931508.8,3.62E+11,1.41E+12,4039664227,2.29E+11,1.28E+12,1.18E+12,1.37E+12,2.51E+12,2.18E+11,
Africa,2001,2533131939,2.25E+12,1398211.452,3.52E+11,1.92E+11,1.77E+11,1.75E+12,1.23E+12,4.30E+12,7.56E+12,1.32E+12,2.73E+11,
Australia,2001,35276501709,1.87E+11,0,856866560.9,4820850671,2.97E+11,4.14E+12,1.28E+11,4.94E+11,1.91E+12,2.66E+11,526279037.5,
E Asia,2001,92542391778,2.52E+12,14931913307,5.37E+11,4.95E+11,4842337744,8411732440,1.62E+12,1.13E+12,3.05E+12,1.79E+12,3.62E+11,
N Asia,2001,3.97E+11,237336.6271,4.17E+11,3.02E+11,1.41E+12,26113518837,3.21E+12,2.05E+12,2.48E+12,2.63E+12,2.56E+11,35623764161,
S Asia,2001,33524410924,1.58E+11,3640713.652,65085096745,98329810496,304053233.6,2.62E+11,1.87E+11,2.43E+11,7.19E+11,2.13E+12,82685592901,
SE Asia,2001,8600730467,2.30E+12,2878231.007,63422622324,97205545976,560868675.5,207189896.8,6.11E+11,3.54E+11,1.81E+11,4.84E+11,1.60E+11,
SW Asia,2001,13909648284,411167040,3245961.954,49584220515,16104607350,479368785.5,3.31E+11,50292626631,76359173672,9.62E+11,4.23E+11,4434906097,
Central Asia,2001,891197372.7,9112682.451,104158462,3178340463,9097920926,388240519.7,94088924479,5285206125,11826089089,2.84E+12,2.22E+11,212633525.4,
Central America,2001,45140224.77,1.89E+11,0,4528212685,1242959451,113328236.8,245778.6094,1.35E+11,1.28E+11,19738601816,11746199984,6842161225,
South America,2001,45539781249,6.51E+12,69985444.5,3.04E+11,69744068531,58272308188,8.33E+11,8.56E+11,3.60E+12,3.60E+12,5.88E+11,1.15E+11,
