Continents/regions,year,mod_land1,mod_land2,mod_land3,mod_land4,mod_land5,mod_land6,mod_land7,mod_land8,mod_land9,mod_land10,mod_land12,mod_land14,
Europe,2015,6.51E+11,21921761488,345494973.4,3.70E+11,1.46E+12,1846689168,2.39E+11,1.28E+12,1.14E+12,1.39E+12,2.45E+12,2.29E+11,
Africa,2015,4184716869,2.21E+12,3098760.873,3.41E+11,2.79E+11,1.58E+11,1.78E+12,1.13E+12,4.21E+12,7.84E+12,1.30E+12,2.82E+11,
Australia,2015,38895392266,2.07E+11,1177941.619,1727178689,7289494173,3.24E+11,4.14E+12,1.36E+11,5.82E+11,1.76E+12,3.16E+11,950745829.3,
E Asia,2015,1.00E+11,2.28E+12,16089548904,6.02E+11,5.05E+11,4221059350,11288906746,1.78E+12,1.14E+12,3.03E+12,1.81E+12,3.87E+11,
N Asia,2015,3.78E+11,0,4.06E+11,3.18E+11,1.32E+12,36954023242,3.15E+12,2.33E+12,2.35E+12,2.74E+12,2.55E+11,40625670890,
S Asia,2015,33486535208,1.46E+11,1970464.219,84340481784,1.20E+11,182293923.2,2.84E+11,1.91E+11,2.33E+11,6.62E+11,2.22E+12,89055556285,
SE Asia,2015,8065967142,2.03E+12,15187178.2,72042077541,96166272472,677382793.5,176486777.7,8.38E+11,3.58E+11,2.02E+11,5.10E+11,1.42E+11,
SW Asia,2015,19606871614,438848700.2,1648607.469,45591250115,17423535670,225348289.5,3.57E+11,62113200476,72640210063,9.48E+11,4.26E+11,6289487606,
Central Asia,2015,1070317412,5645033.03,103019518.8,1165000580,8204474647,420721862.1,1.26E+11,9079481354,10388205890,2.78E+12,2.20E+11,468973313.3,
Central America,2015,54929771.64,1.54E+11,698587.1251,4537180937,1350750840,138695524.4,2425931.391,1.71E+11,1.26E+11,21342368457,10677503462,6425109749,
South America,2015,41148780200,6.23E+12,6255301.733,2.90E+11,67483625472,57868332589,8.06E+11,9.27E+11,3.55E+12,3.78E+12,7.13E+11,1.20E+11,
North America,2014,1.21E+12,2.15E+11,6692563160,9.04E+11,9.30E+11,25231269948,2.23E+12,3.26E+12,2.64E+12,5.35E+12,1.98E+12,1.54E+11,
Europe,2014,6.54E+11,21739148086,317880860.2,3.67E+11,1.45E+12,1974323507,2.40E+11,1.28E+12,1.15E+12,1.40E+12,2.45E+12,2.23E+11,
Africa,2014,4253464327,2.21E+12,3346097.389,3.46E+11,2.74E+11,1.55E+11,1.75E+12,1.15E+12,4.23E+12,7.84E+12,1.30E+12,2.83E+11,
Australia,2014,38489808132,2.08E+11,980602.0404,1473360563,7004144325,3.24E+11,4.13E+12,1.36E+11,5.83E+11,1.78E+12,3.03E+11,923524074.7,
E Asia,2014,1.01E+11,2.27E+12,16371402645,5.98E+11,4.94E+11,4837599529,10889029500,1.80E+12,1.15E+12,3.03E+12,1.80E+12,3.83E+11,
N Asia,2014,3.82E+11,0,4.19E+11,3.15E+11,1.32E+12,37582794539,3.16E+12,2.31E+12,2.35E+12,2.74E+12,2.58E+11,34296738188,
S Asia,2014,33567280010,1.46E+11,1745781.156,85108325549,1.19E+11,180847081.6,2.84E+11,1.94E+11,2.31E+11,6.57E+11,2.23E+12,85900215049,
SE Asia,2014,8142549659,2.03E+12,11210502.68,71204330134,95648688661,660918942.2,161441206.3,8.42E+11,3.60E+11,2.01E+11,5.05E+11,1.42E+11,
SW Asia,2014,19890341261,457040767.1,1631553.165,45552371554,17174599128,261629226.3,3.59E+11,61336444011,72132555376,9.54E+11,4.18E+11,5893899129,
Central Asia,2014,1049154829,7189370.264,95489299.64,1127338331,8126379357,410497270.5,1.28E+11,8547545129,10043364264,2.78E+12,2.15E+11,310915028,
Central America,2014,56380349,1.54E+11,698587.1251,4800673357,1327781656,108115578.8,1222715.922,1.71E+11,1.26E+11,21278439967,10685012031,6302054280,
South America,2014,42144039475,6.24E+12,5024976.281,2.82E+11,67020215571,54890898199,8.07E+11,9.36E+11,3.60E+12,3.73E+12,7.10E+11,1.20E+11,
North America,2013,1.22E+12,2.13E+11,6552279865,9.06E+11,9.25E+11,25331198079,2.25E+12,3.25E+12,2.62E+12,5.37E+12,1.98E+12,1.50E+11,
