/* Unit: gc/m2/yr */
Continents/regions,year,modis_land1,modis_land2,modis_land3,modis_land4,modis_land5,modis_land6,modis_land7,modis_land8,modis_land9,modis_land10,modis_land11,modis_land12,modis_land13,modis_land14,modis_land15,modis_land16,modis_land17
E Asia,2015,130.79,182.27,57.77,125.24,139.54,174.77,64.85,275.72,285.61,103.61,717.86,137.06,132.72,257.54,6.53,13.33,8.97
N Asia,2015,49.74,0.00,58.47,73.18,43.38,75.62,36.24,70.37,114.05,84.09,275.60,100.78,24.94,45.62,8.60,34.77,14.70
S Asia,2015,330.77,195.86,723.22,155.21,297.49,276.72,83.57,273.71,232.40,151.00,380.17,112.01,33.50,234.76,6.05,24.63,21.06
SE Asia,2015,513.73,181.10,602.60,323.96,268.24,592.83,469.68,440.80,447.90,461.32,854.55,245.93,125.85,451.54,101.77,286.11,17.50
SW Asia,2015,102.44,115.04,188.33,150.15,186.80,294.70,87.09,149.78,191.63,144.67,243.00,103.23,25.63,136.66,41.51,4.48,4.73
Central Asia,2015,20.84,37.46,28.49,45.48,85.74,162.04,54.64,81.53,56.55,51.14,114.78,78.92,8.11,17.24,14.01,28.49,1.22
Central America,2015,1003.00,206.61,985.21,205.82,358.60,588.08,722.00,462.41,415.90,539.27,812.83,353.39,199.81,439.24,0.00,368.94,0.17
South America,2015,189.93,113.70,613.29,227.62,144.77,147.75,80.99,280.23,199.26,182.78,616.64,200.48,16.91,290.63,52.33,39.67,6.40
North America,2014,64.18,183.09,42.78,117.49,73.22,170.31,48.46,123.14,123.97,87.97,197.66,101.09,34.21,123.32,4.51,36.21,6.29
Europe,2014,60.10,121.03,72.62,81.89,39.02,168.72,78.41,96.17,145.92,149.37,306.29,123.66,23.07,83.52,3.22,85.87,1.96
Africa,2014,176.65,100.71,981.52,93.09,89.87,89.49,56.72,191.95,152.07,121.00,563.39,105.33,94.43,205.63,73.36,1.67,1.70
Australia,2014,186.56,155.94,146.67,486.55,567.16,54.79,33.74,327.86,209.20,128.62,814.49,127.77,84.94,734.13,0.00,19.55,3.58
E Asia,2014,133.82,165.31,55.32,130.57,140.50,162.88,44.08,266.87,284.86,100.34,684.24,139.31,132.00,247.99,6.39,11.73,9.00
N Asia,2014,39.76,0.00,51.32,72.70,39.47,90.78,35.91,67.39,113.09,82.47,252.75,87.71,24.42,47.16,8.38,35.50,15.34
S Asia,2014,353.84,204.01,650.75,141.94,281.25,252.16,65.81,262.95,215.81,146.41,362.15,106.05,32.38,228.10,7.27,20.08,20.84
SE Asia,2014,554.92,161.86,667.50,317.99,275.34,486.57,449.57,419.14,438.00,463.71,804.39,257.49,115.76,420.04,91.12,273.03,16.00
SW Asia,2014,98.21,127.22,128.67,139.85,174.25,313.78,81.04,153.59,201.00,147.53,234.72,104.44,24.54,133.89,33.70,3.67,4.21
Central Asia,2014,18.23,32.79,27.68,47.17,85.49,158.11,42.68,73.24,53.24,46.46,100.44,75.95,7.31,17.49,12.01,24.17,0.65
Central America,2014,981.80,191.45,996.34,188.63,345.75,701.18,891.00,445.92,414.00,544.11,824.57,360.39,197.28,475.48,0.00,379.16,0.21
South America,2014,190.85,110.41,642.08,181.17,142.75,162.31,81.95,271.03,207.23,197.79,640.41,195.75,17.12,289.79,52.41,37.80,5.65
North America,2013,67.26,172.03,41.61,115.94,72.19,172.05,50.46,128.45,128.72,83.66,199.24,99.69,35.96,124.89,4.24,37.38,5.89
Europe,2013,68.00,125.56,122.24,80.08,37.80,150.63,80.96,92.67,141.01,140.17,335.02,115.41,20.89,68.37,2.83,81.96,1.94
Africa,2013,176.57,97.02,994.71,96.99,91.32,86.06,54.56,191.99,155.00,119.63,559.50,105.39,89.33,210.64,76.38,1.63,1.47
Australia,2013,180.46,151.32,117.19,483.02,524.63,56.48,30.36,323.43,204.72,123.10,809.48,117.11,82.26,734.34,0.00,17.20,3.31
E Asia,2013,125.87,152.75,56.42,123.26,136.42,160.10,49.50,262.45,279.97,104.44,644.68,146.90,122.99,250.51,6.48,13.53,8.62
N Asia,2013,50.79,0.00,51.08,67.68,41.61,97.35,35.93,67.58,117.07,84.85,275.00,99.83,23.81,44.23,7.86,36.56,13.24
S Asia,2013,301.05,181.65,852.80,117.91,244.04,267.16,83.92,243.77,216.90,144.10,386.71,115.47,34.34,230.52,5.91,25.04,21.99
SE Asia,2013,457.68,148.04,718.65,296.04,253.40,391.81,423.49,403.48,416.15,444.35,750.39,259.19,114.95,417.47,72.56,280.39,14.85
SW Asia,2013,108.30,107.16,97.51,131.04,159.99,370.61,87.12,158.64,209.93,165.21,255.06,114.27,25.55,135.03,33.52,4.11,4.74
Central Asia,2013,18.72,36.52,27.78,47.85,64.02,160.30,43.59,74.93,63.68,52.63,113.60,86.42,7.76,17.59,12.88,26.63,0.65
Central America,2013,910.49,175.57,954.95,185.35,347.12,687.67,683.00,430.35,389.35,509.70,792.86,352.65,184.41,465.85,0.00,416.06,0.17
South America,2013,188.03,106.57,568.30,220.61,141.21,154.13,75.93,271.06,202.72,197.75,615.06,209.39,16.47,293.02,57.37,38.17,5.18
North America,2012,65.15,185.77,44.00,134.50,80.45,160.68,49.07,121.42,124.11,83.93,206.53,109.03,32.50,95.85,5.01,34.66,5.57
Europe,2012,62.66,128.73,83.33,86.77,40.71,130.11,68.61,85.75,125.35,136.20,314.60,117.33,20.32,64.84,4.65,86.54,1.79
Africa,2012,183.93,97.90,927.65,90.50,89.71,87.28,50.55,186.65,148.25,114.91,562.11,96.88,86.73,197.81,177.86,1.53,0.98
Australia,2012,169.10,149.03,297.83,505.52,524.52,60.00,38.36,324.83,215.05,134.03,835.51,129.37,84.55,773.37,34.51,19.15,8.82
E Asia,2012,124.16,151.03,53.28,118.86,134.05,132.34,39.25,254.48,270.39,101.89,650.83,137.46,123.15,242.19,9.55,12.81,6.57
N Asia,2012,49.70,0.00,55.57,72.03,42.72,98.68,38.03,68.42,118.67,85.93,294.56,86.37,21.31,29.83,8.30,41.07,14.04
S Asia,2012,306.94,182.82,866.00,122.80,225.18,275.39,68.95,249.07,214.66,137.12,373.30,107.05,30.67,238.37,9.03,22.74,17.50
SE Asia,2012,481.73,147.97,938.90,292.37,259.18,396.58,448.21,404.87,419.46,442.90,752.78,251.46,110.34,418.71,82.01,246.99,10.91
SW Asia,2012,121.18,126.98,161.73,153.64,191.40,323.99,99.52,155.63,190.94,155.04,254.32,114.27,23.02,116.79,32.34,4.12,3.86
Central Asia,2012,25.22,32.72,26.72,44.47,94.87,156.84,51.03,70.22,59.42,45.48,93.74,74.56,6.29,7.54,11.54,24.88,0.52
Central America,2012,965.33,178.84,0.00,194.26,349.57,724.62,813.50,454.91,422.79,555.86,825.59,380.63,192.76,474.59,0.00,381.67,0.15
South America,2012,176.98,102.35,589.99,202.66,136.03,146.30,78.19,274.44,200.57,197.91,602.34,200.84,16.13,261.71,47.06,37.52,4.59
North America,2011,65.71,192.49,40.16,134.26,80.64,152.27,46.94,125.55,121.11,81.53,208.10,105.76,32.01,104.46,5.18,32.91,5.62
Europe,2011,61.29,125.21,103.71,82.24,37.61,151.83,79.24,90.09,140.83,142.10,333.16,118.66,21.59,70.66,2.64,85.89,1.94
Africa,2011,179.40,95.40,952.22,93.29,91.76,92.14,59.46,186.93,145.78,116.90,563.66,102.93,86.18,198.79,169.63,1.46,0.87
Australia,2011,164.17,142.47,228.29,505.60,486.28,69.20,49.71,317.15,209.28,152.35,836.56,130.17,83.70,712.78,48.06,23.51,9.55
E Asia,2011,144.36,155.11,54.28,118.05,134.70,122.50,43.08,256.61,276.52,102.02,641.54,142.88,116.50,241.75,10.06,13.48,5.93
N Asia,2011,44.58,0.00,59.65,69.90,42.33,87.93,38.03,68.72,115.16,85.88,291.26,100.07,24.12,51.20,7.87,36.86,14.56
S Asia,2011,348.93,192.26,1186.33,121.35,235.71,254.98,83.55,255.97,224.97,142.91,398.44,113.33,31.84,247.98,9.93,24.34,16.01
SE Asia,2011,610.77,150.93,1127.55,296.05,267.00,420.94,414.70,404.03,422.12,466.63,744.76,276.93,106.76,409.95,242.56,287.36,8.67
SW Asia,2011,109.10,111.77,102.71,132.46,172.85,300.93,93.80,150.11,200.87,148.27,253.36,111.51,23.50,139.01,28.78,3.78,4.13
Central Asia,2011,19.46,35.72,22.08,48.10,86.15,177.17,44.72,77.49,64.59,51.00,106.22,76.40,6.87,30.47,12.11,26.98,0.48
Central America,2011,964.65,162.69,0.00,170.30,356.32,701.59,671.00,445.44,402.74,550.61,841.14,370.11,179.47,465.85,0.00,365.50,0.14
South America,2011,177.07,99.39,573.30,170.88,138.30,159.34,77.20,275.35,206.01,206.35,618.59,212.09,15.04,304.46,54.96,39.05,4.96
North America,2010,62.88,177.10,39.39,130.15,82.96,154.86,51.73,128.62,124.95,88.78,210.45,110.61,32.10,102.20,5.06,37.99,5.56
Europe,2010,57.13,124.97,74.72,82.93,38.72,138.55,68.54,85.56,130.27,128.52,303.15,111.67,19.67,70.79,1.96,81.53,1.73
Africa,2010,171.06,94.53,926.96,92.88,92.56,85.83,53.12,188.26,150.98,113.79,576.36,100.02,83.32,211.84,85.18,1.59,0.76
Australia,2010,160.87,142.17,291.59,563.81,493.02,64.74,44.10,317.57,193.36,139.69,787.35,119.47,76.26,520.29,39.41,28.05,3.93
E Asia,2010,123.81,147.95,58.65,115.44,129.22,150.61,43.58,254.98,271.73,99.80,667.08,137.24,118.11,257.28,8.39,13.11,4.72
N Asia,2010,43.08,0.00,47.38,65.84,39.21,90.04,34.50,63.40,106.93,85.34,246.74,99.53,23.15,52.77,7.67,38.38,13.98
S Asia,2010,322.63,186.73,798.50,113.18,230.31,232.35,96.91,239.47,220.27,143.88,415.02,111.37,30.45,238.73,7.24,22.67,16.96
SE Asia,2010,454.72,146.20,1041.86,284.62,247.74,484.35,405.42,419.86,409.72,444.43,766.68,251.11,110.10,429.44,166.25,220.62,5.90
SW Asia,2010,112.60,158.97,20.12,151.20,190.52,272.51,83.40,147.73,181.16,148.29,255.67,97.43,21.04,121.41,29.08,3.53,3.56
Central Asia,2010,20.66,36.99,18.10,43.40,77.32,180.65,39.77,70.13,68.39,47.65,97.78,68.84,6.07,6.37,9.88,23.36,0.43
Central America,2010,939.90,155.44,0.00,163.40,342.44,637.84,585.33,435.12,386.67,543.32,811.04,357.07,169.69,463.76,0.00,364.31,0.17
South America,2010,174.54,97.86,462.82,175.91,142.10,149.27,74.33,270.85,204.78,199.68,628.67,208.01,14.36,327.17,49.83,35.51,4.33
North America,2009,59.63,187.71,35.09,121.13,73.07,151.61,46.88,125.46,116.96,84.44,175.33,100.04,33.43,121.74,5.60,34.63,5.71
Europe,2009,57.90,128.44,78.38,77.23,37.97,146.29,71.52,90.85,136.03,145.66,309.00,126.18,20.91,80.19,3.20,85.55,1.83
Africa,2009,183.52,96.21,977.20,96.05,99.55,92.30,50.32,185.73,149.40,117.86,567.47,102.94,80.47,202.96,43.61,1.40,0.61
Australia,2009,160.49,143.07,253.70,616.32,539.58,57.55,33.12,313.97,212.26,125.11,822.62,111.94,73.98,735.10,6.75,20.65,4.06
E Asia,2009,143.41,149.13,54.81,123.96,143.40,147.00,43.47,263.41,295.34,105.75,681.75,148.84,116.08,258.29,6.42,13.38,4.09
N Asia,2009,44.87,0.00,49.81,65.14,40.22,95.75,35.54,67.11,116.84,86.70,283.46,107.57,24.79,61.37,7.08,35.81,13.44
S Asia,2009,386.11,205.97,906.00,130.05,279.85,243.98,80.47,258.35,219.61,144.82,393.38,101.57,26.18,237.07,6.29,24.27,13.48
SE Asia,2009,622.76,144.58,1116.29,318.10,278.11,442.09,405.99,420.01,444.52,478.85,782.80,271.00,98.66,430.61,148.28,244.27,4.08
SW Asia,2009,103.80,110.14,0.00,118.71,149.29,317.46,101.03,152.69,205.37,160.09,271.62,111.86,22.75,142.03,25.93,4.36,2.96
Central Asia,2009,14.50,36.10,16.72,43.90,56.86,175.10,56.42,77.52,70.73,51.37,103.01,70.19,6.96,25.19,8.93,25.24,0.47
Central America,2009,1043.70,190.57,0.00,198.86,377.24,577.45,610.00,469.44,420.12,566.20,839.09,381.76,182.07,492.11,0.00,336.17,0.17
South America,2009,176.63,105.66,619.47,194.63,149.90,154.89,72.12,274.83,210.31,200.96,614.10,200.32,14.04,284.78,50.61,35.30,5.01
North America,2008,62.36,165.20,39.06,122.08,78.36,145.82,47.36,121.00,119.29,81.51,195.94,100.58,32.60,108.23,5.93,31.03,5.43
Europe,2008,58.23,108.03,84.85,76.45,39.94,149.96,72.16,88.54,131.52,143.36,270.24,122.14,20.82,77.31,3.18,84.90,1.78
Africa,2008,181.36,94.06,690.46,91.65,96.45,94.16,54.13,183.93,151.56,118.78,578.81,102.46,79.97,206.28,70.98,1.52,0.81
Australia,2008,161.68,141.24,0.00,645.03,571.55,64.80,33.59,322.49,218.95,142.72,828.89,127.38,75.07,711.92,0.00,18.14,1.11
E Asia,2008,136.61,140.26,51.80,121.61,135.42,132.76,41.18,236.80,269.57,99.60,600.15,145.97,110.34,237.46,6.28,12.92,3.05
N Asia,2008,47.79,0.00,53.45,67.82,41.02,80.90,35.38,64.81,111.12,83.15,278.88,95.40,22.02,52.29,6.85,36.17,13.90
S Asia,2008,351.76,187.23,7.50,111.77,231.64,272.06,78.21,246.51,230.42,135.06,411.27,113.44,27.13,252.25,5.57,22.51,12.28
SE Asia,2008,546.27,135.98,972.76,282.70,251.55,411.82,403.36,372.95,398.20,446.45,678.40,269.37,92.56,383.48,106.45,219.12,2.85
SW Asia,2008,91.70,110.62,41.36,124.03,153.26,324.34,72.03,155.88,202.29,149.64,254.38,109.14,20.16,145.90,28.70,3.01,2.03
Central Asia,2008,17.44,36.58,19.88,41.95,94.74,159.21,30.20,72.55,61.96,44.30,93.67,73.99,6.08,15.81,9.43,21.59,0.44
Central America,2008,919.21,146.84,0.00,162.17,336.28,493.86,662.00,422.74,392.79,530.49,821.12,382.67,161.57,480.82,0.00,324.04,0.15
South America,2008,178.93,104.57,550.11,195.95,143.97,145.30,78.46,271.57,205.93,194.83,573.23,175.39,13.11,279.04,55.89,41.28,4.60
North America,2007,63.33,172.04,41.35,136.39,77.79,159.89,51.84,121.63,118.00,85.24,187.68,104.23,31.56,93.96,5.50,34.85,6.07
Europe,2007,61.61,106.86,98.18,77.42,40.32,155.10,77.04,89.41,135.31,143.11,296.88,116.21,20.46,72.01,3.94,88.36,1.86
Africa,2007,183.31,93.69,602.76,91.48,95.20,87.77,50.24,178.14,150.53,118.16,563.39,106.20,76.03,205.82,17.94,1.47,0.73
Australia,2007,175.04,144.11,0.00,661.25,568.97,60.91,35.69,322.62,216.76,133.44,840.03,116.14,70.04,656.53,94.86,21.86,1.77
E Asia,2007,128.42,137.55,57.96,121.32,135.01,153.17,49.72,242.55,275.45,102.34,637.78,146.42,108.13,247.44,7.95,13.91,2.91
N Asia,2007,47.47,0.00,47.13,65.59,41.67,67.02,35.27,64.12,108.38,86.99,271.15,105.32,22.44,57.08,8.22,37.57,14.97
S Asia,2007,362.36,190.52,54.60,114.78,249.67,258.42,89.06,244.33,234.45,143.87,430.70,114.83,26.46,248.61,8.57,26.23,11.89
SE Asia,2007,515.07,134.03,915.75,289.45,257.31,477.09,450.93,398.43,412.62,461.02,727.40,271.76,96.33,417.54,224.72,233.81,2.61
SW Asia,2007,87.24,94.23,51.04,127.82,162.21,267.02,88.68,143.10,182.59,150.46,247.06,101.91,20.13,129.01,31.95,3.69,2.41
Central Asia,2007,18.54,39.17,21.84,48.71,80.48,182.08,46.37,81.57,69.62,50.73,117.31,79.87,6.67,34.80,11.55,25.04,0.81
Central America,2007,920.98,145.35,922.00,178.25,335.67,589.52,482.13,448.13,402.99,547.65,790.05,379.65,161.11,469.13,0.00,291.46,0.17
South America,2007,168.82,108.17,519.26,184.71,149.75,147.90,74.74,276.61,208.00,192.76,594.96,167.58,13.17,261.22,46.16,37.14,4.21
North America,2006,63.13,176.63,40.79,138.06,78.10,145.72,49.98,122.61,123.36,84.28,211.15,101.76,30.15,98.36,4.80,35.14,5.50
Europe,2006,57.19,109.20,86.92,76.85,39.92,137.47,71.42,87.16,128.55,134.86,280.52,108.32,17.89,68.57,2.34,84.78,1.83
Africa,2006,192.44,92.13,346.51,91.58,95.42,98.48,62.43,169.30,142.75,121.24,559.64,105.39,72.46,194.38,78.21,1.65,0.59
