/* Unit: gc/m2/yr */
Continents/regions,year,modis_land1,modis_land2,modis_land3,modis_land4,modis_land5,modis_land6,modis_land7,modis_land8,modis_land9,modis_land10,modis_land11,modis_land12,modis_land13,modis_land14,modis_land15,modis_land16,modis_land17
North America,2003,59.86,157.58,36.50,112.59,65.81,163.10,50.90,123.43,129.99,84.12,202.67,105.23,28.63,121.96,4.39,36.43,5.46
Europe,2003,55.45,115.51,95.82,73.81,39.21,131.91,70.61,84.61,126.44,142.92,280.36,127.60,17.59,72.94,1.77,83.40,1.45
Africa,2003,184.77,91.62,1225.92,98.68,96.96,87.00,52.50,173.16,150.00,116.04,555.82,97.93,61.04,203.45,11.46,2.04,0.42
Australia,2003,193.17,126.14,0.00,652.10,594.05,72.60,36.25,356.05,216.48,129.32,822.98,107.66,61.64,692.34,0.00,22.52,1.50
E Asia,2003,135.25,140.21,47.07,121.66,138.73,107.87,64.12,233.86,294.40,106.04,663.11,159.72,100.03,262.28,7.95,13.82,0.99
N Asia,2003,45.59,0.00,46.84,64.58,38.58,89.92,35.25,63.45,107.43,81.92,303.75,92.02,21.51,41.96,10.71,37.75,12.35
S Asia,2003,327.10,169.79,47.96,113.33,224.28,245.10,96.85,237.34,220.58,139.60,424.14,106.90,22.87,246.52,7.42,26.81,10.67
SE Asia,2003,507.20,135.39,895.73,321.71,285.77,451.19,561.34,394.57,441.81,484.09,754.09,283.83,79.52,430.58,104.71,186.88,1.82
SW Asia,2003,99.26,101.73,239.47,112.89,134.01,332.92,96.71,156.01,194.65,159.24,286.94,119.55,19.30,146.32,54.07,3.96,2.98
Central Asia,2003,23.71,33.55,20.76,47.73,78.16,175.24,52.86,69.89,63.66,55.26,120.02,71.28,6.16,16.52,14.65,27.78,0.65
Central America,2003,967.51,144.36,0.00,177.58,370.82,634.22,796.00,427.44,396.90,523.02,772.73,369.46,134.16,459.12,0.00,316.55,0.17
South America,2003,169.20,108.87,573.08,219.95,151.85,127.78,75.44,269.53,214.16,197.91,597.25,173.56,11.92,281.90,13.15,35.75,6.09
North America,2002,59.51,166.27,34.65,124.03,70.30,171.87,47.80,114.96,115.09,81.11,179.98,96.62,26.56,100.77,5.84,33.80,5.29
Europe,2002,55.11,98.97,65.65,72.31,35.81,144.63,74.11,91.59,136.71,149.76,280.04,125.01,18.39,80.22,1.96,79.29,1.17
Africa,2002,193.65,95.04,1012.36,98.14,97.06,87.10,51.43,172.30,149.92,113.48,551.13,103.54,58.82,204.79,29.50,1.85,0.48
Australia,2002,147.63,132.21,0.00,694.84,658.46,62.46,30.19,364.72,230.75,130.79,828.42,122.66,60.47,782.01,0.00,12.38,1.86
E Asia,2002,130.79,142.86,48.54,121.57,135.51,109.51,76.19,231.10,280.64,103.06,688.62,148.56,93.78,261.78,10.58,14.88,0.84
N Asia,2002,45.51,0.00,53.47,66.79,41.19,83.43,37.30,64.52,102.10,84.68,257.05,94.64,20.59,51.22,9.92,40.00,13.69
S Asia,2002,349.38,182.69,41.55,120.78,256.18,259.66,54.56,246.69,225.48,133.95,435.41,106.89,19.29,248.17,7.85,21.81,10.74
SE Asia,2002,532.81,140.72,954.63,296.51,274.07,474.91,556.00,402.96,426.32,459.05,786.16,274.16,80.12,431.09,108.15,206.60,1.93
SW Asia,2002,87.06,122.87,255.67,124.40,150.78,334.11,98.69,156.91,202.84,160.13,291.33,118.67,19.29,155.72,51.50,4.28,1.38
Central Asia,2002,22.70,36.74,31.74,57.69,83.01,168.27,55.15,76.95,63.04,52.91,124.84,78.06,6.75,27.22,16.22,26.29,0.51
Central America,2002,1022.39,164.42,0.00,187.96,392.23,636.72,827.00,469.89,415.57,551.25,810.74,388.55,142.87,480.03,0.00,309.75,0.18
South America,2002,151.70,114.63,617.78,222.17,135.95,129.38,80.30,269.66,210.53,187.71,588.28,148.28,11.92,240.93,11.50,38.09,5.46
North America,2001,63.40,158.60,38.60,114.47,69.00,174.03,45.20,118.82,117.55,79.70,190.10,108.40,26.40,107.61,7.96,31.57,3.93
Europe,2001,55.22,96.49,91.91,73.41,41.87,138.49,64.38,89.16,133.18,144.64,282.17,125.31,17.24,82.63,3.22,75.31,0.80
Africa,2001,191.82,94.23,589.49,93.85,92.89,89.43,51.80,166.78,144.89,115.99,554.27,95.18,53.43,203.73,0.00,1.83,0.38
Australia,2001,143.30,123.01,0.00,612.85,581.52,70.02,42.00,357.19,217.49,138.11,799.73,108.23,59.49,726.93,0.00,22.05,12.24
E Asia,2001,124.23,126.70,44.39,116.82,129.88,116.88,51.06,213.43,268.45,93.00,591.03,140.77,85.81,244.26,12.40,12.91,0.19
N Asia,2001,51.81,0.00,52.86,65.27,42.32,77.95,33.96,64.75,96.30,78.14,255.01,105.56,21.24,54.72,8.46,35.27,11.24
S Asia,2001,349.40,186.58,119.66,123.77,267.61,253.39,68.47,238.25,215.54,123.95,398.00,104.77,19.81,242.51,8.72,19.89,6.39
SE Asia,2001,530.10,124.15,892.63,282.74,261.11,424.19,506.46,368.34,398.77,434.30,672.69,269.74,69.31,391.58,90.84,183.86,0.14
SW Asia,2001,84.99,111.44,208.73,114.84,144.08,287.50,83.50,150.89,185.92,150.37,269.32,111.26,18.43,156.24,50.40,3.32,0.27
Central Asia,2001,24.99,37.71,36.49,57.19,87.49,164.73,35.88,80.37,62.77,45.65,101.58,71.92,5.69,17.06,14.92,21.57,0.20
Central America,2001,1009.91,161.15,0.00,184.61,379.48,608.32,804.00,459.19,411.78,541.69,807.85,387.41,140.67,477.41,0.00,329.06,0.07
South America,2001,172.64,118.03,566.56,241.63,158.65,125.99,85.04,276.54,209.58,185.94,561.17,155.06,11.32,248.99,11.81,38.36,3.30
